designer,season,num_looks,silhouette_slim,silhouette_oversized,silhouette_structured,silhouette_draped,fabric_heavy,fabric_light,fabric_leather,fabric_denim,fabric_knit,fabric_cotton,layering_heavy,layering_minimal,color_black,color_white,color_earth_tones,color_bright,color_muted,color_plaid,distressed,patchwork,raw_edges,deconstructed,graphic_print,floral_print,abstract_print,no_print,military,punk_grunge,tailored_formal,streetwear_casual,gothic_dark
sacai,fall-2019-menswear,62,0.18014428,0.24479984,0.20360772,0.18188378,0.22277679,0.16331364,0.19038789,0.18351854,0.19778557,0.19420232,0.2569236,0.20409068,0.18240525,0.14657123,0.18403715,0.15950626,0.19669567,0.19414102,0.17240459,0.21099985,0.22730309,0.23493096,0.20472988,0.1852167,0.18317115,0.21532717,0.21856424,0.16446714,0.16456574,0.22785363,0.10811414
sacai,fall-2020-menswear,66,0.18544075,0.24867691,0.21769725,0.19633314,0.22582693,0.16979808,0.20746146,0.1849028,0.1902674,0.19512235,0.25363708,0.21577653,0.21855481,0.13765772,0.19218509,0.15962093,0.21587323,0.19469051,0.18266968,0.21427917,0.23303725,0.2581392,0.19702548,0.19691831,0.19292355,0.21597518,0.24053217,0.19817607,0.18220486,0.21898581,0.13896897
sacai,fall-2021-menswear,33,0.17626525,0.22713217,0.21994437,0.16879918,0.21011543,0.16479933,0.17487296,0.16360144,0.16009605,0.18958578,0.25125086,0.20854153,0.16754432,0.11570152,0.18538594,0.20613553,0.21573761,0.18833755,0.15550593,0.22307777,0.21464512,0.23218337,0.18717197,0.16857313,0.19736595,0.22393128,0.21741675,0.19344908,0.17398745,0.22480322,0.118357785
sacai,fall-2022-menswear,41,0.17214026,0.24087065,0.20401274,0.15548162,0.22495162,0.16148925,0.17641012,0.17564107,0.16873533,0.19575012,0.23923048,0.22084571,0.16779186,0.12674148,0.15837668,0.176102,0.21872252,0.18335421,0.16937025,0.19354002,0.2202323,0.2295818,0.17131278,0.14581855,0.17075336,0.23288669,0.19208772,0.19431615,0.1581357,0.23694013,0.122611605
sacai,fall-2023-menswear,64,0.18420382,0.24275485,0.22598982,0.1880102,0.21772811,0.17848669,0.20062251,0.16396858,0.1603812,0.18208684,0.2556612,0.2227599,0.22396465,0.15029289,0.16586335,0.13228704,0.1981889,0.17020129,0.18096587,0.18028358,0.23988748,0.2521274,0.18004487,0.1608909,0.16712013,0.21064316,0.22190385,0.17253828,0.18132642,0.20458628,0.13226986
sacai,fall-2024-menswear,65,0.18411624,0.24086301,0.22655095,0.19522968,0.21873178,0.17696397,0.20231013,0.15494093,0.18468148,0.19458193,0.24928835,0.22137736,0.22942607,0.15136082,0.18588683,0.14726907,0.2103067,0.17673126,0.16579928,0.1862087,0.23467773,0.24856761,0.19393285,0.17752932,0.17252937,0.22178754,0.22359702,0.16668934,0.18862006,0.19865146,0.13752496
sacai,fall-2025-menswear,69,0.18394697,0.24348825,0.22855255,0.19661579,0.23992415,0.16482903,0.21571876,0.16623464,0.18050192,0.19161747,0.25626495,0.20938006,0.2173812,0.13556913,0.21022272,0.1497959,0.21102871,0.1806449,0.15757623,0.19564031,0.22672197,0.25455874,0.18998758,0.17872234,0.17908247,0.2183557,0.23557566,0.17088827,0.19108944,0.2092167,0.13190547
sacai,fall-2026-menswear,73,0.17295355,0.22895575,0.21611308,0.19031121,0.20405178,0.16221294,0.19210154,0.16368754,0.1696803,0.19092831,0.24125622,0.20781966,0.2090722,0.15210782,0.19395564,0.13016325,0.19750537,0.1665082,0.16009367,0.18222837,0.21101789,0.2259783,0.17564726,0.17586224,0.16443586,0.20853904,0.21878216,0.14659493,0.19455808,0.18778121,0.13100553
sacai,spring-2014-menswear,27,0.19601306,0.20765793,0.20601568,0.14868622,0.16673592,0.18648596,0.14914656,0.1768757,0.17822129,0.2108033,0.21322042,0.22599603,0.13229959,0.14242196,0.15958099,0.18462345,0.220107,0.18663207,0.15965977,0.1941223,0.21495138,0.21976356,0.19231185,0.18905833,0.18238115,0.23877841,0.1775557,0.16900724,0.17982519,0.21792872,0.06760355
sacai,spring-2015-menswear,26,0.18439515,0.22547199,0.23518299,0.17205763,0.18230787,0.19844714,0.17313346,0.17769371,0.1936887,0.19696692,0.25660372,0.22836174,0.16824284,0.15859294,0.15367773,0.17044908,0.20367894,0.20281741,0.20058402,0.21219529,0.24156477,0.25346905,0.20986308,0.18492356,0.18833406,0.2253449,0.21951538,0.1964481,0.16835657,0.24686135,0.08191233
sacai,spring-2016-menswear,35,0.17389953,0.2533383,0.20247672,0.1778961,0.17148967,0.17186317,0.16337156,0.17908613,0.1727129,0.19666758,0.2340521,0.19919403,0.169705,0.13938075,0.15535082,0.17306373,0.1801823,0.21853283,0.18483557,0.20512287,0.21604525,0.24159047,0.20133483,0.20537385,0.1945706,0.20448212,0.21722706,0.19712178,0.16053033,0.23422231,0.096732475
sacai,spring-2017-menswear,49,0.17099547,0.22509676,0.19364057,0.16541964,0.182326,0.1740867,0.16639848,0.1675296,0.1862179,0.20191716,0.2346101,0.20127118,0.17028823,0.14837289,0.12818195,0.1579632,0.18947855,0.19501936,0.17163175,0.20444775,0.21751888,0.23016472,0.19897816,0.18894094,0.18094477,0.19485563,0.17963715,0.17586103,0.16480902,0.20031291,0.1055123
